0.1,194,14,3.23,60,180,-1,41,0,-1,37,0.12,-1,58,0,-1,60,180,-1,38,0.61,-1
0.2,347,24,5.78,60,180,-1,47,0,-1,43,0.52,-1,60,0.02,-1,60,180,-1,44,0.84,-1

70,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0429,105,8,1.5,70,180,-1,40,0,-1,34,0,-1,34,0,-1,34,1.67,34,37,0.52,-1
0.0571,146,8,2.09,70,180,-1,42,0,-1,37,0.01,-1,64,0,-1,70,180,-1,41,0.61,-1
0.0714,175,10,2.5,70,180,-1,47,0,-1,40,0.05,-1,70,0.01,-1,70,180,-1,44,0.66,-1
0.0607,141,8,2.01,70,180,-1,42,0,-1,37,0.03,-1,66,0.01,-1,70,180,-1,40,0.58,-1
0.12,278,14,3.97,70,180,-1,52,0,-1,45,0.3,-1,70,0.02,-1,70,180,-1,49,0.85,-1
0.1,254,14,3.63,70,180,-1,53,0,-1,45,0.29,-1,70,0.01,-1,70,180,-1,48,0.79,-1
0.2,481,20,6.87,70,180,-1,56,0,-1,53,3.53,-1,70,0.03,-1,70,180,-1,54,1.15,-1

80,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0375,117,7,1.46,80,180,-1,42,0,-1,37,0,-1,46,0,-1,37,0.01,37,41,0.6,-1
0.05,166,10,2.08,80,180,-1,48,0,-1,43,0.03,-1,75,0,-1,80,180,-1,46,0.71,-1
0.0625,191,11,2.39,80,180,-1,52,0,-1,44,0.06,-1,77,0.01,-1,80,180,-1,50,0.76,-1
0.0548,200,10,2.5,80,180,-1,54,0,-1,48,0.3,-1,80,0,-1,80,180,-1,50,0.8,-1
0.112,382,16,4.78,80,180,-1,63,0,-1,56,4.84,-1,80,0.01,-1,80,180,-1,60,1.28,-1
0.1,318,14,3.97,80,180,-1,56,0,-1,53,2.19,-1,80,0.01,-1,80,180,-1,55,1.15,-1
0.2,561,24,7.01,80,180,-1,64,0,-1,61,12.2,-1,80,0.03,-1,80,180,-1,63,1.38,-1

90,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0333,137,8,1.52,90,180,-1,54,0,-1,43,0.01,-1,62,0,-1,43,3.44,43,50,0.73,-1
0.0444,178,10,1.98,90,180,-1,54,0,-1,45,0.01,-1,80,0.01,-1,90,180,-1,50,0.81,-1
0.0556,219,11,2.43,90,180,-1,54,0,-1,51,0.24,-1,86,0.01,-1,90,180,-1,53,0.89,-1
0.05,185,8,2.06,90,180,-1,57,0,-1,48,0.04,-1,84,0,-1,90,180,-1,54,0.83,-1
0.105,436,16,4.84,90,180,-1,70,0,-1,63,16.4,-1,90,0.01,-1,90,180,-1,67,1.28,-1
0.1,399,16,4.43,90,180,-1,66,0,-1,60,3.26,-1,90,0.01,-1,90,180,-1,63,1.2,-1
0.2,815,31,9.06,90,180,-1,76,0,-1,71,40,-1,90,0.04,-1,90,180,-1,73,1.85,-1

100,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
