0.1,187,12,3.12,60,3,-1,44,0,-1,37,0.08,-1,59,0.01,-1,37,0.56,37,42,0.58,-1
0.2,371,23,6.18,60,3,-1,49,0,-1,45,0.73,-1,60,0.02,-1,45,3,45,46,0.84,-1

70,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0429,104,9,1.49,70,3,-1,38,0,-1,32,0.01,-1,42,0,-1,32,0.01,32,36,0.49,-1
0.0571,129,9,1.84,70,3,-1,41,0,-1,35,0.01,-1,60,0,-1,35,0.02,35,39,0.54,-1
0.0714,178,10,2.54,70,3,-1,46,0,-1,42,0.1,-1,70,0,-1,42,0.77,42,45,0.63,-1
0.0607,141,12,2.01,70,3,-1,42,0,-1,35,0.01,-1,62,0.01,-1,35,0.02,35,39,0.56,-1
0.12,282,12,4.03,70,3,-1,51,0,-1,46,0.39,-1,70,0.01,-1,46,1.96,46,50,0.82,-1
0.1,219,12,3.13,70,3,-1,48,0,-1,44,0.29,-1,70,0.01,-1,44,1.48,44,46,0.71,-1
0.2,491,23,7.01,70,3,-1,59,0,-1,54,3,-1,70,0.02,-1,70,3,-1,56,1.1,-1

80,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0375,111,7,1.39,80,3,-1,43,0,-1,34,0,-1,34,0,-1,34,0.01,34,40,0.56,-1
0.05,150,10,1.88,80,3,-1,49,0,-1,40,0.01,-1,65,0,-1,40,0.03,40,46,0.65,-1
0.0625,191,12,2.39,80,3,-1,51,0,-1,44,0.04,-1,78,0,-1,44,0.2,44,49,0.72,-1
0.0548,194,10,2.42,80,3,-1,51,0,-1,47,0.2,-1,79,0.01,-1,47,1.13,47,49,0.72,-1
0.112,324,17,4.05,80,3,-1,59,0,-1,54,2.64,-1,80,0.01,-1,59,3,59,56,0.96,-1
0.1,292,12,3.65,80,3,-1,55,0,-1,53,1.58,-1,80,0.02,-1,55,3,55,55,0.97,-1
0.2,630,28,7.88,80,3,-1,66,0,-1,80,3,-1,80,0.03,-1,80,3,-1,64,1.47,-1

90,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,IPL-VC,T,k,LP-VC,T,k,Kernel-VC,T,k,MonHeur-VC,T,k
0.0333,134,7,1.49,90,3,-1,45,0,-1,42,0.01,-1,61,0,-1,42,0.02,42,44,0.69,-1
0.0444,177,8,1.97,90,3,-1,51,0,-1,49,0.14,-1,82,0,-1,49,0.28,49,51,0.81,-1
0.0556,210,11,2.33,90,3,-1,60,0,-1,51,0.21,-1,88,0.01,-1,51,0.37,51,57,0.87,-1
0.05,206,9,2.29,90,3,-1,55,0,-1,50,0.17,-1,88,0,-1,50,0.4,50,53,0.87,-1
