10,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,MonHeur-VC,T,k,IPL-VC,T,k,Kernel-VC,T,k,LP-VC,T,k
0.3,15,5,1.5,5,0,5,5,0,-1,5,0.01,-1,5,0,-1,5,0,5,8,0,-1
0.4,19,6,1.9,5,0,5,5,0,-1,5,0.01,-1,5,0,-1,5,0,5,10,0,-1
0.5,21,7,2.1,6,0,6,6,0,-1,6,0.01,-1,6,0,-1,6,0,6,10,0,-1
0.23,11,4,1.1,5,0,5,5,0,-1,5,0.01,-1,5,0,-1,5,0,5,9,0,-1
0.316,16,5,1.6,5,0,5,5,0,-1,5,0,-1,5,0,-1,5,0,5,10,0,-1
0.1,5,3,0.5,2,0,2,3,0,-1,2,0.01,-1,2,0,-1,2,0,2,2,0,-1
0.2,9,4,0.9,5,0,5,5,0,-1,5,0.01,-1,5,0,-1,5,0,5,7,0,-1

