5,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,MonHeur-VC,T,k,IPL-VC,T,k,Kernel-VC,T,k,LP-VC,T,k
0.6,6,3,1.2,3,0,3,3,0,-1,3,0.03,-1,3,0,-1,3,0,3,5,0,-1
0.8,8,4,1.6,3,0,3,4,0,-1,3,0.02,-1,3,0,-1,3,0,3,5,0,-1
1,10,4,2,4,0,4,4,0,-1,4,0.03,-1,4,0,-1,4,0,4,5,0,-1
0.322,6,3,1.2,3,0,3,3,0,-1,3,0.02,-1,3,0,-1,3,0,3,5,0,-1
0.447,6,3,1.2,3,0,3,3,0,-1,3,0.02,-1,3,0,-1,3,0,3,5,0,-1
0.1,2,2,0.4,1,0,1,1,0,-1,1,0.02,-1,1,0,-1,1,0,1,1,0,-1
0.2,4,3,0.8,2,0,2,2,0,-1,2,0.01,-1,2,0.01,-1,2,0,2,2,0,-1

