10,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,MonHeur-VC,T,k,IPL-VC,T,k,Kernel-VC,T,k,LP-VC,T,k
0.3,11,5,1.1,4,0,4,4,0,-1,4,0.04,-1,4,0,-1,4,0,4,4,0,-1
0.4,16,6,1.6,5,0,5,5,0,-1,5,0.04,-1,5,0.01,-1,5,0,5,5,0,-1
0.5,22,7,2.2,6,0,6,7,0,-1,6,0.06,-1,6,0,-1,6,0,6,10,0,-1
0.23,10,5,1,3,0,3,4,0,-1,3,0.04,-1,3,0,-1,3,0,3,3,0,-1
0.316,12,5,1.2,4,0,4,4,0,-1,4,0.04,-1,4,0,-1,4,0,4,4,0,-1
0.1,5,4,0.5,2,0,2,2,0,-1,2,0.03,-1,2,0,-1,2,0,2,2,0,-1
0.2,10,5,1,3,0,3,4,0,-1,3,0.04,-1,3,0,-1,3,0,3,3,0,-1

