20,m,delta,dM,ARB-VC,T,k,Greedy-VC,T,k,MonHeur-VC,T,k,IPL-VC,T,k,Kernel-VC,T,k,LP-VC,T,k
0.15,29,6,1.45,10,0.01,10,10,0,-1,10,0.1,-1,10,0,-1,10,0.01,10,17,0,-1
0.2,39,6,1.95,11,0.01,11,11,0,-1,11,0.12,-1,11,0.01,-1,11,0,11,20,0,-1
0.25,38,7,1.9,11,0.02,11,14,0,-1,11,0.12,-1,11,0,-1,11,0,11,20,0,-1
0.15,27,6,1.35,8,0,8,11,0,-1,8,0.1,-1,8,0,-1,8,0,8,8,0,-1
0.224,34,6,1.7,11,0.02,11,11,0,-1,11,0.11,-1,11,0,-1,11,0,11,18,0,-1
0.1,19,6,0.95,6,0.01,6,8,0,-1,6,0.08,-1,6,0,-1,6,0,6,6,0,-1
0.2,33,6,1.65,11,0.01,11,11,0,-1,11,0.11,-1,11,0,-1,11,0,11,15,0.01,-1

