2000,m,delta,dM,Greedy-VC,T,k
0.0015,3036,10,1.52,1092,0.16,-1
0.002,3997,12,2,1191,0.16,-1
0.0025,5040,14,2.52,1279,0.17,-1
0.0038,7649,18,3.82,1414,0.18,-1
0.0224,44411,69,22.2,1828,0.25,-1
0.1,200005,240,100,1954,0.62,-1
0.2,400069,465,200,1974,1.33,-1

